title,info,location,totalprice,unitprice 
红苹果两房 简单装修 随时看房 业主诚心出售,"红苹果家园 , | 2室2厅 | 96.8平米 | 南 北 | 毛坯 | 有电梯","中楼层(共18层)2009年建板楼  -  ,九堡","310,万",单价32025元/平米
三房朝南 满五唯一免双税 南北通透双阳台  采光好,"耀江文欣苑 , | 3室2厅 | 118.09平米 | 南 北 | 简装 | 有电梯","中楼层(共10层)2002年建板楼  -  ,文教","730,万",单价61818元/平米
云龙公寓 西边套电梯房 中间楼层，采光好,"云龙公寓 , | 3室2厅 | 110.08平米 | 南 西 | 精装 | 有电梯","中楼层(共28层)2002年建板楼  -  ,潮鸣","502,万",单价45604元/平米
铭雅苑东区    精装修   户型好  配套成熟,"铭雅苑东区 , | 4室2厅 | 128.02平米 | 南 | 精装 | 无电梯","高楼层(共6层)2004年建板楼  -  ,三墩","350,万",单价27340元/平米
南北通透，楼层适中，满屋唯一免双税,"小河佳苑 , | 2室2厅 | 66.62平米 | 南 | 简装 | 有电梯","中楼层(共11层)2005年建板楼  -  ,和睦","260,万",单价39028元/平米
水印康庭业主自住精装修，城建设计师设计，loft户型,"水印康庭 , | 3室2厅 | 94.76平米 | 南 北 | 精装 | 有电梯","中楼层(共10层)2006年建板楼  -  ,三塘","560,万",单价59097元/平米
满五唯一、清爽装修全明户型拎包入住,"世纪新城东区 , | 4室2厅 | 165.12平米 | 南 北 | 精装 | 有电梯","高楼层(共11层)2005年建板楼  -  ,嘉绿","930,万",单价56323元/平米
总价低 小户型 两房朝南 刚需选择,"岸上蓝山 , | 2室2厅 | 79.19平米 | 南 北 | 简装 | 有电梯","低楼层(共11层)2013年建板楼  -  ,闲林","190,万",单价23993元/平米
丽江公寓 2室2厅 350万,"丽江公寓 , | 2室2厅 | 89.43平米 | 南 北 | 精装 | 有电梯","中楼层(共17层)2008年建板楼  -  ,九堡","350,万",单价39137元/平米
满五唯一，自住装修，首付无要求，诚售,"美之园东区 , | 2室2厅 | 96.72平米 | 南 北 | 精装 | 无电梯","中楼层(共5层)2003年建板楼  -  ,湘湖","280,万",单价28950元/平米
保亿风景蝶院观园 3室1厅 350万,"保亿风景蝶院观园 , | 3室1厅 | 89.33平米 | 南 | 精装 | 有电梯","中楼层(共25层)2010年建板楼  -  ,白马湖","350,万",单价39181元/平米
观澜一线江景 两房精装修  拎包即可入住,"金隅观澜时代 , | 2室2厅 | 87.58平米 | 南 | 精装 | 有电梯","中楼层(共20层)2013年建板楼  -  ,沿江南","250,万",单价28546元/平米
临城花苑满五唯一，西边套，小区环境安静舒适,"临城花苑 , | 4室2厅 | 136.7平米 | 南 西 北 | 毛坯 | 有电梯","中楼层(共14层)2001年建板楼  -  ,临平","208,万",单价15216元/平米
地段好，价格优，求是竞舟，为了小孩，为了将来！,"金成花园 , | 2室1厅 | 51.99平米 | 南 | 简装 | 无电梯","高楼层(共7层)1998年建板楼  -  ,文一西路","255,万",单价49048元/平米
复兴南苑大两房，拎包入住，格局好！看房方便!,"复兴南苑 , | 2室1厅 | 67.97平米 | 南 | 精装 | 无电梯","中楼层(共7层)1998年建板楼  -  ,复兴","300,万",单价44138元/平米
庭院深深 2室2厅 220万,"庭院深深 , | 2室2厅 | 86.74平米 | 南 | 精装 | 有电梯","中楼层(共11层)2012年建板楼  -  ,闲林","220,万",单价25364元/平米
楼层好  带车位  精装修  满五唯一 房东诚心出售,"西溪蝶园一期 , | 4室2厅 | 192.26平米 | 南 | 精装 | 有电梯","高楼层(共11层)2009年建板楼  -  ,西溪","910,万",单价47332元/平米
南北通透三居 全明格局 楼层好 前面正对小区花园,"湖畔花园闻莺苑 , | 3室2厅 | 154.2平米 | 南 北 | 精装 | 有电梯","中楼层(共10层)2000年建板楼  -  ,文一西路","700,万",单价45396元/平米
三开间朝南 不靠马路 相当于毛坯  可随意装修,"新江花园 , | 2室2厅 | 92.85平米 | 南 | 简装 | 有电梯","低楼层(共14层)2007年建板楼  -  ,九堡","280,万",单价30157元/平米
北景园自住精装修 大两房 房东诚心出售,"北景园紫荆苑 , | 2室2厅 | 93.41平米 | 南 | 精装 | 无电梯","低楼层(共6层)2006年建板楼  -  ,石桥","278,万",单价29762元/平米
嘉南公寓大户型，装修清爽，产权清晰，诚心出售,"嘉南公寓影池居 , | 4室3厅 | 124.21平米 | 南 | 简装","高楼层(共6层)2003年建板楼  -  ,文一西路","650,万",单价52331元/平米
戈雅公寓小两房，满五唯一，精装修，南北透,"通和戈雅公寓 , | 2室2厅 | 95.37平米 | 南 北 | 精装","中楼层(共32层)2007年建板楼  -  ,闻堰","280,万",单价29360元/平米
房东自住    精装修，置换急售,"绿城西子郁金香岸 , | 2室2厅 | 106平米 | 南 | 精装 | 有电梯","低楼层(共26层)2007年建板楼  -  ,闻堰","305,万",单价28774元/平米
白金海岸 4室2厅 650万,"白金海岸 , | 4室2厅 | 133.48平米 | 南 | 精装 | 有电梯","高楼层(共18层)2006年建板楼  -  ,长河","650,万",单价48697元/平米
三开间朝南，客厅带阳台，视野采光佳，满五年唯一。,"天阳观筑 , | 2室2厅 | 74.09平米 | 南 | 简装 | 有电梯","中楼层(共17层)2011年建板楼  -  ,丁桥","240,万",单价32394元/平米
广景苑 大三房 西边套 采光好 中间楼层 地铁边上 诚售,"广景苑 , | 3室2厅 | 130.15平米 | 南 | 精装 | 有电梯","中楼层(共23层)2004年建塔楼  -  ,景芳","650,万",单价49943元/平米
左家新村 2室2厅 350万,"左家新村 , | 2室2厅 | 77.94平米 | 南 | 简装 | 无电梯","中楼层(共7层)1993年建板楼  -  ,湖墅","350,万",单价44907元/平米
郁金香岸绿城品质物业，户型方正，满五唯一，精装,"绿城西子郁金香岸 , | 3室2厅 | 132.73平米 | 南 | 精装 | 有电梯","中楼层(共26层)2007年建板楼  -  ,闻堰","390,万",单价29383元/平米
田园公寓，自住精装修、诚心出售,"田园公寓 , | 3室2厅 | 112平米 | 南 北 | 简装 | 无电梯","高楼层(共7层)1998年建塔楼  -  ,半山","330,万",单价29465元/平米
平层大四房，西边套，三开间朝南，采光充足,"亲亲家园二期 , | 4室2厅 | 152.9平米 | 南 | 精装 | 有电梯","中楼层(共11层)2006年建板楼  -  ,三墩","435,万",单价28450元/平米
精装四房 满五，两房朝南，小区环境优美,"江南摩卡 , | 4室2厅 | 129.12平米 | 南 | 简装","低楼层(共6层)2009年建板楼  -  ,闻堰","380,万",单价29430元/平米
滨江房产 万家花城单元边套 出租装修 诚心出售,"万家花城一期 , | 3室2厅 | 89.86平米 | 南 北 | 简装 | 有电梯","低楼层(共25层)2009年建板楼  -  ,申花","415,万",单价46183元/平米
野风海天城，精装修双阳台，看房方便，诚心出售。,"野风海天城 , | 2室2厅 | 97.6平米 | 南 | 精装 | 有电梯","中楼层(共31层)2007年建板楼  -  ,沿江北","280,万",单价28689元/平米
绿城蓝庭  标准三居室 精装修 有地暖送车位 户型正气,"绿城蓝庭东区 , | 3室2厅 | 140.34平米 | 南 北 | 精装 | 有电梯","高楼层(共9层)2013年建板楼  -  ,临平","400,万",单价28503元/平米
城北商贸园 3室2厅 420万,"城北商贸园 , | 3室2厅 | 120.51平米 | 南 | 简装 | 无电梯","中楼层(共6层)1997年建板楼  -  ,申花","420,万",单价34852元/平米
美都新村，东边套，视野好采光好，赠送起码10个平方起,"美都新村 , | 2室2厅 | 67.8平米 | 南 | 简装 | 无电梯","高楼层(共7层)1998年建板楼  -  ,文三西路","298,万",单价43953元/平米
锦园小区 全明东边套 正气两房 中等装修 拎包入住,"锦园小区 , | 2室1厅 | 57.96平米 | 南 | 简装 | 无电梯","高楼层(共7层)1994年建板楼  -  ,建国北路","278,万",单价47965元/平米
黄姑山路22号 交通方便 配套成熟 房龄较新,"黄姑山路22号 , | 2室1厅 | 71.94平米 | 南 | 简装 | 无电梯","中楼层(共7层)1995年建板楼  -  ,九莲","278,万",单价38644元/平米
莫干山路611号 3室1厅 450万,"莫干山路611号 , | 3室1厅 | 77.8平米 | 南 | 简装 | 无电梯","中楼层(共6层)1985年建板楼  -  ,文教","450,万",单价57841元/平米
大关东七苑 2室1厅 230万,"大关东七苑 , | 2室1厅 | 58.13平米 | 南 | 精装 | 无电梯","高楼层(共6层)1995年建板楼  -  ,大关","230,万",单价39567元/平米
永昌坝一个有可能拆迁的小区，小区少有房源出售,"永昌坝 , | 2室1厅 | 58.36平米 | 南 北 | 简装","中楼层(共6层)1995年建暂无数据  -  ,雄镇楼","265,万",单价45408元/平米
三间朝南  近地铁和中小 学   诚售,"蓝桥景苑 , | 2室2厅 | 78.21平米 | 南 北 | 简装","低楼层(共15层)2009年建板楼  -  ,九堡","270,万",单价34523元/平米
潮鸣苑  毛坯 一楼带院子 阳光无遮挡,"潮鸣苑 , | 2室1厅 | 45.54平米 | 南 | 毛坯 | 无电梯","低楼层(共6层)板楼  -  ,潮鸣","205,万",单价45016元/平米
刚需小三房 户型可改动 中等楼层 居住舒适 享你所想,"广宇上东名筑 , | 3室2厅 | 83.62平米 | 南 | 毛坯 | 有电梯","低楼层(共16层)2012年建板楼  -  ,丁桥","270,万",单价32289元/平米
满五唯一，楼层好，干净整洁，诚心出售,"曙光路小区 , | 2室1厅 | 63.35平米 | 西 北 | 简装","低楼层(共5层)2000年建板楼  -  ,黄龙","348,万",单价54933元/平米
满五唯一免双税，南北通透客厅带阳台，中等装修,"后珠美都雅苑 , | 2室2厅 | 90.3平米 | 南 北 | 简装 | 有电梯","中楼层(共15层)2008年建板楼  -  ,丁桥","230,万",单价25471元/平米
胜利天地教育区 两居室 房东诚心出售,"钱江时代公寓 , | 2室2厅 | 96.18平米 | 南 | 简装","低楼层(共27层)2007年建板楼  -  ,近江","470,万",单价48867元/平米
原筑壹号 3室2厅 330万,"原筑壹号 , | 3室2厅 | 111平米 | 东 南 北 | 毛坯 | 有电梯","中楼层(共13层)2010年建板塔结合  -  ,笕桥","330,万",单价29730元/平米
铭雅苑东区 6室3厅 430万,"铭雅苑东区 , | 6室3厅 | 165.81平米 | 南 | 精装 | 无电梯","高楼层(共6层)2004年建板楼  -  ,三墩","430,万",单价25934元/平米
东河家园 2000年房龄 品质小区 东河景观房 看房随时,"东河家园 , | 3室2厅 | 124.82平米 | 南 北 | 毛坯 | 无电梯","中楼层(共7层)2000年建板楼  -  ,清泰","620,万",单价49672元/平米
伊萨卡国际城浩泽园 3室1厅 278万,"伊萨卡国际城浩泽园 , | 3室1厅 | 110.33平米 | 南 | 精装 | 有电梯","高楼层(共33层)2008年建塔楼  -  ,沿江北","278,万",单价25198元/平米
康乐新村清爽装修 小三房 不沿街免双税,"康乐新村 , | 3室1厅 | 77.97平米 | 南 北 | 简装 | 无电梯","高楼层(共7层)1996年建板楼  -  ,文三西路","300,万",单价38477元/平米
全明边套 楼层适中 距离市二医院仅50米,"两宜里 , | 3室1厅 | 67.24平米 | 南 北 | 简装","中楼层(共5层)1989年建板楼  -  ,拱宸桥","250,万",单价37181元/平米
世茂中间套两房，楼层好，带精装修,"世茂江滨花园峻景湾 , | 2室2厅 | 89平米 | 南 | 精装 | 有电梯","中楼层(共33层)2011年建塔楼  -  ,沿江南","250,万",单价28090元/平米
多层住宅小区，楼间距大，采光好，居住舒适,"金沙学府 , | 4室2厅 | 129.4平米 | 南 | 精装","低楼层(共6层)2006年建暂无数据  -  ,高教园区东","335,万",单价25889元/平米
火车城站 一梯两 户型正气 2000年房龄,"长明寺巷小区 , | 2室1厅 | 67.13平米 | 南 | 简装 | 无电梯","高楼层(共6层)1999年建板楼  -  ,潮鸣","276,万",单价41115元/平米
朝晖四区 电梯房 96年房龄 双卧朝南 房改房 免双税,"朝晖四区 , | 3室1厅 | 76.71平米 | 南 北 | 简装 | 有电梯","中楼层(共9层)1989年建板楼  -  ,朝晖","300,万",单价39109元/平米
雅仕苑三房 全明户型 采光好 送阁楼送储藏室 免双税,"雅仕苑 , | 3室2厅 | 100.98平米 | 南 北 | 简装 | 无电梯","高楼层(共6层)1998年建板楼  -  ,文一西路","450,万",单价44564元/平米
亲亲家园一期 电梯顶跃 自住精装修,"亲亲家园一期 , | 5室2厅 | 164平米 | 南 北 | 精装 | 有电梯","高楼层(共11层)2007年建板楼  -  ,三墩","490,万",单价29879元/平米
200方花园，排屋级享受、景观河，水景城独一,"东海水景城 , | 4室2厅 | 173.85平米 | 南 | 毛坯 | 有电梯","低楼层(共11层)2010年建板楼  -  ,临平","410,万",单价23584元/平米
三房朝南，户型格局好，小区中间位置居住舒,"政苑小区 , | 3室2厅 | 110.42平米 | 南 | 简装 | 有电梯","中楼层(共11层)2005年建板塔结合  -  ,申花","539,万",单价48814元/平米
保利湾天地二期 2室1厅 95万,"保利湾天地二期 , | 2室1厅 | 47平米 | 东 | 其他 | 有电梯","高楼层(共17层)2010年建板楼  -  ,沿江南","95,万",单价20213元/平米
世茂江滨花园瑞景湾 3室1厅 250万,"世茂江滨花园瑞景湾 , | 3室1厅 | 88.34平米 | 南 | 简装","低楼层(共33层)2010年建塔楼  -  ,沿江南","250,万",单价28300元/平米
春天大四房诚心卖房，户型正气四房朝南，实用170平,"春天花园 , | 4室2厅 | 145.82平米 | 南 | 精装 | 无电梯","高楼层(共6层)2001年建板楼  -  ,文一西路","600,万",单价41147元/平米
浅水湾户型正气的大户型，房东诚心出售,"浅水湾城市花园 , | 4室2厅 | 170.24平米 | 南 北 | 精装 | 有电梯","中楼层(共17层)2008年建塔楼  -  ,湖墅","880,万",单价51692元/平米
满5年免双税 丹桂公寓四房诚心出售,"丹桂公寓 , | 4室2厅 | 124.43平米 | 南 北 | 简装 | 无电梯","中楼层(共4层)1997年建板楼  -  ,文三西路","620,万",单价49828元/平米
送楼上100平，层高相同，无斜角，一手买进，六居室,"中大文锦苑 , | 6室3厅 | 110.49平米 | 南 | 简装 | 有电梯","高楼层(共15层)2001年建板楼  -  ,学军","1260,万",单价114038元/平米
原筑壹号，东边套，整个小区唯一一个五房、五房,"原筑壹号 , | 5室1厅 | 111.82平米 | 南 北 | 毛坯 | 有电梯","低楼层(共16层)2010年建板塔结合  -  ,笕桥","300,万",单价26829元/平米
韩家弄采光好，视野好，赠送阁楼，上下两层面积一致,"韩家弄 , | 3室2厅 | 127.44平米 | 南 北 | 简装 | 无电梯","高楼层(共6层)1993年建板楼  -  ,萧山市区","315,万",单价24718元/平米
广厦天都城天河苑 1室1厅 110万,"广厦天都城天河苑 , | 1室1厅 | 51.26平米 | 南 | 简装","中楼层(共5层)2007年建板楼  -  ,星桥","110,万",单价21460元/平米
金雅苑难得的三开间小三房，极棒,"金雅苑社区 , | 3室1厅 | 88.45平米 | 南 北 | 其他 | 有电梯","低楼层(共11层)2011年建板楼  -  ,九堡","270,万",单价30526元/平米
湾天地诚心出售好房，自住精装，随时可看,"保利湾天地二期 , | 2室2厅 | 72.88平米 | 南 | 精装 | 有电梯","中楼层(共33层)2010年建塔楼  -  ,沿江南","120,万",单价16466元/平米
新出优房  位置佳 南北通透 三房诚售,"丹桂公寓 , | 3室2厅 | 113.26平米 | 南 北 | 简装 | 无电梯","高楼层(共4层)1997年建板楼  -  ,文三西路","565,万",单价49886元/平米
标准房出售，精装修，楼层低，一梯四户,"清泰街小区 , | 2室1厅 | 54.07平米 | 南 | 精装 | 无电梯","低楼层(共7层)1998年建板楼  -  ,潮鸣","270,万",单价49936元/平米
白荡海人家  文一街十三中多层三房 利用率高,"白荡海人家 , | 3室2厅 | 103.24平米 | 南 北 | 精装 | 无电梯","中楼层(共7层)板楼  -  ,文教","600,万",单价58118元/平米
金都华府东边套户型 精装修 小区入住率高环境好大阳台,"金都华府 , | 3室2厅 | 155.16平米 | 南 | 精装 | 有电梯","低楼层(共21层)2007年建板塔结合  -  ,雄镇楼","885,万",单价57038元/平米
景芳水湘苑 电梯房 大四房 东边套 户型正气,"景芳水湘苑 , | 4室2厅 | 151.72平米 | 东 南 北 | 简装 | 有电梯","中楼层(共18层)2005年建板楼  -  ,景芳","685,万",单价45149元/平米
南都德迦西区 顶跃 免双税 户型很正气,"南都德迦西区 , | 5室2厅 | 198.25平米 | 南 北 | 精装 | 无电梯","高楼层(共5层)1999年建板楼  -  ,文三西路","754,万",单价38033元/平米
东城丽景，采光充足，交通便利，设施齐全。,"东城丽景 , | 3室1厅 | 86平米 | 南 北 | 精装 | 无电梯","中楼层(共6层)2009年建板楼  -  ,乔司","210,万",单价24419元/平米
电梯房，采光好，配套齐全，交通便利,"万家花园万和苑 , | 2室1厅 | 184.67平米 | 南 | 精装 | 有电梯","高楼层(共11层)2002年建板楼  -  ,闸弄口","720,万",单价38989元/平米
新上学军 房龄新 东边套 朝南没遮挡 房东诚售,"崇文公寓 , | 3室2厅 | 111.4平米 | 南 | 精装 | 无电梯","中楼层(共6层)2006年建板楼  -  ,学军","950,万",单价85279元/平米
广景苑景芳地铁站电梯房年代新旁边大型商场,"广景苑 , | 3室2厅 | 130.15平米 | 南 | 精装 | 有电梯","低楼层(共23层)2004年建塔楼  -  ,景芳","660,万",单价50711元/平米
湖畔花园龙珠苑 ，独栋别墅，环境优雅。,"湖畔花园龙珠苑 ,  | 独栋别墅 | 5室2厅 | 210.08平米 | 南 | 简装 | 无电梯","3层1997年建暂无数据  -  ,文一西路","1600,万",单价76162元/平米
名仕家园   优质好房  东边套   中间楼层  视野好！,"名仕家园 , | 4室2厅 | 160.85平米 | 南 北 | 精装 | 有电梯","中楼层(共11层)2001年建板楼  -  ,文一西路","746,万",单价46379元/平米
银爵南北通 刚需户型  交通便利  视野开阔  采光无忧,"银爵世纪公寓 , | 2室1厅 | 88.68平米 | 南 | 简装 | 有电梯","高楼层(共31层)2009年建板楼  -  ,浦沿","350,万",单价39468元/平米
长坡里，两房朝南，采光好，楼层好,"长坡里 , | 2室1厅 | 46.58平米 | 南 | 毛坯","中楼层(共6层)板楼  -  ,潮鸣","205,万",单价44011元/平米
金田小三房，总价低，楼层好，满五唯一,"金田花园 , | 3室2厅 | 83.07平米 | 南 | 简装 | 无电梯","低楼层(共7层)1996年建板楼  -  ,文三西路","335,万",单价40328元/平米
复兴南苑 经典一居室户型 户型正气,"复兴南苑 , | 1室1厅 | 37.37平米 | 南 | 简装 | 无电梯","中楼层(共7层)1998年建板楼  -  ,复兴","168,万",单价44956元/平米
平层大四房，西边套，三开间朝南，采光充足,"亲亲家园二期 , | 4室2厅 | 152.9平米 | 南 | 精装 | 有电梯","中楼层(共11层)2006年建板楼  -  ,三墩","435,万",单价28450元/平米
复式东边套，5.7米层高，客厅挑空，有露台可做阳光房,"大关公寓 , | 4室3厅 | 174.88平米 | 南 | 简装","高楼层(共18层)2012年建板楼  -  ,和睦","735,万",单价42029元/平米
物华小区 满五唯一 两房朝南 户型正气 带院子,"物华小区 , | 2室1厅 | 69.41平米 | 南 | 简装 | 无电梯","低楼层(共6层)1998年建板楼  -  ,嘉绿","278,万",单价40052元/平米
大王庙巷 两房朝南 中间楼层 户型方正 采光好无遮挡,"大王庙巷小区 , | 2室1厅 | 54.51平米 | 南 北 | 简装 | 无电梯","中楼层(共7层)1991年建板楼  -  ,清泰","255,万",单价46781元/平米
云溪香山简装房东自己装修的满五年无增值税,"云溪香山 , | 3室2厅 | 159.5平米 | 南 | 毛坯 | 有电梯","高楼层(共11层)2008年建板楼  -  ,转塘","410,万",单价25706元/平米
红石中央花苑 2室2厅 585.8万,"红石中央花苑 , | 2室2厅 | 101平米 | 南 | 精装 | 有电梯","中楼层(共18层)2005年建板楼  -  ,湖墅","585.8,万",单价58000元/平米
华元美林公馆湿地旁精装东边套楼层好视野佳,"华元美林公馆 , | 2室1厅 | 88.85平米 | 南 | 精装 | 有电梯","高楼层(共7层)2013年建板楼  -  ,西溪","340,万",单价38267元/平米
采光充足 格局分布合理 交房正常 户口可迁,"近江家园二园 , | 3室2厅 | 95.56平米 | 南 北 | 简装 | 有电梯","中楼层(共11层)2002年建板楼  -  ,近江","470,万",单价49184元/平米
03年多成 可改两室 免双税 自住精装,"拱宸新苑 , | 1室2厅 | 60.46平米 | 南 北 | 简装 | 无电梯","高楼层(共6层)2001年建板楼  -  ,拱宸桥","215,万",单价35561元/平米
政苑小区 小高层 西边套 不临街 视野开阔,"政苑小区 , | 3室2厅 | 125.46平米 | 南 西 | 精装 | 有电梯","高楼层(共11层)2005年建板楼  -  ,申花","590,万",单价47027元/平米
电梯房中间楼层   满五唯一  采光视野好  拎包入住,"天湖公寓 , | 3室2厅 | 125.1平米 | 南 北 | 精装 | 有电梯","中楼层(共7层)1998年建板楼  -  ,文一西路","430,万",单价34373元/平米
东边套 三房 不沿街 小区中间  2006年的房子 看房方便,"小河佳苑 , | 3室2厅 | 98.39平米 | 南 北 | 毛坯 | 有电梯","中楼层(共20层)2008年建板楼  -  ,和睦","340,万",单价34557元/平米
戈雅公寓高层电梯房，毛坯可看江景，满五唯一。,"通和戈雅公寓 , | 3室2厅 | 123平米 | 南 北 | 毛坯 | 有电梯","低楼层(共32层)2007年建板楼  -  ,闻堰","320,万",单价26017元/平米
倾城之恋 4室2厅 660万,"倾城之恋 , | 4室2厅 | 139.18平米 | 南 西 北 | 精装 | 有电梯","高楼层(共14层)2004年建板塔结合  -  ,滨江区政府","660,万",单价47421元/平米
三宝新村村2000年房龄，精装修，跟64方的格局一样,"三宝新村 , | 2室1厅 | 55.55平米 | 南 北 | 精装 | 无电梯","中楼层(共5层)1989年建板楼  -  ,信义坊","213,万",单价38344元/平米
中尚橄榄树花园（南区） 3室2厅 250万,"中尚橄榄树花园（南区） , | 3室2厅 | 98平米 | 南 | 精装","高楼层(共6层)2010年建板楼  -  ,崇贤","250,万",单价25511元/平米
小三房 户型方正 小区环境优美 交通便利,"保利东湾 , | 3室2厅 | 89.8平米 | 南 北 | 精装","低楼层(共32层)2010年建板楼  -  ,沿江南","238,万",单价26504元/平米
全明大两房 精装修拎包入住 中高楼层 采光好 户型敞亮,"长睦邻里人家东苑 , | 2室2厅 | 81.87平米 | 南 | 精装 | 有电梯","高楼层(共16层)2006年建板楼  -  ,丁桥","225,万",单价27483元/平米
保利东湾跃层可看江景可做4房正气户型可改四房三卫,"保利东湾 , | 3室2厅 | 112平米 | 南 | 毛坯 | 有电梯","中楼层(共34层)2010年建板楼  -  ,沿江南","305,万",单价27233元/平米
流水苑 2室1厅 240万,"流水苑 , | 2室1厅 | 50.39平米 | 东南 南 | 简装 | 无电梯","高楼层(共6层)1999年建板楼  -  ,流水苑","240,万",单价47629元/平米
三里家园三区小面积跃层 清爽装修 满五唯一免双税,"三里家园三区 , | 3室2厅 | 80.18平米 | 南 北 | 简装 | 无电梯","高楼层(共6层)2008年建板楼  -  ,三里亭","260,万",单价32428元/平米
东海柠檬郡满五唯一精装好房诚心出售,"东海柠檬郡 , | 3室2厅 | 89.67平米 | 南 | 精装 | 有电梯","中楼层(共33层)2012年建塔楼  -  ,工业园南","300,万",单价33457元/平米
东边套 精装修 采光好 送大露台50多方的 看房方便,"濮家新村 , | 2室1厅 | 58.63平米 | 南 北 | 精装 | 无电梯","低楼层(共6层)1988年建板楼  -  ,闸弄口","252,万",单价42982元/平米
万科品质 精装三房 小区中间位置 满五唯一 采光充足,"万科魅力之城 , | 3室1厅 | 88平米 | 南 北 | 精装 | 有电梯","中楼层(共11层)2009年建板楼  -  ,九堡","310,万",单价35228元/平米
保利湾天地 loft精装采光好 送家电和车位,"保利湾天地二期 , | 2室2厅 | 97平米 | 南 | 精装 | 有电梯","高楼层(共33层)2010年建板楼  -  ,沿江南","148,万",单价15258元/平米
小面积住宅，满五唯一税费少，江景房。,"伊萨卡国际城浩泽园 , | 1室1厅 | 64.84平米 | 南 | 精装","中楼层(共33层)2008年建塔楼  -  ,沿江北","190,万",单价29303元/平米
房东诚售！满五唯一，视野开阔，不占学籍，价格可谈,"嘉南公寓青藤居 , | 3室2厅 | 125.7平米 | 南 | 简装 | 无电梯","高楼层(共6层)2003年建板楼  -  ,文一西路","540,万",单价42960元/平米
皮市巷 三楼西边套 正规一房 业主诚心出售,"皮市巷 , | 1室1厅 | 40.35平米 | 南 西 北 | 简装 | 无电梯","中楼层(共8层)1988年建板楼  -  ,清泰","185,万",单价45849元/平米
东羊血弄小区，地理位置好，西湖边，地铁口。房东诚心,"东羊血弄 , | 3室1厅 | 66.44平米 | 南 | 简装 | 无电梯","高楼层(共6层)1985年建板楼  -  ,湖滨","305,万",单价45907元/平米
经典跃层，上下两层，赠送2个房间 带清爽装修拎包住,"宋都晨光国际 , | 3室1厅 | 87.43平米 | 南 | 简装 | 有电梯","中楼层(共33层)2013年建板塔结合  -  ,沿江南","320,万",单价36601元/平米
中间位置，西边套低总价，诚心卖。户型全明，,"翠苑三区 , | 2室1厅 | 50.4平米 | 南 | 简装 | 无电梯","高楼层(共6层)1989年建板楼  -  ,翠苑","225,万",单价44643元/平米
复地连城国际花园，中间楼层，视野宽阔，采光充足,"复地连城国际 , | 4室2厅 | 133.04平米 | 南 | 精装 | 有电梯","中楼层(共15层)2011年建板楼  -  ,乔司","350,万",单价26308元/平米
保利东湾 3室2厅 265万,"保利东湾 , | 3室2厅 | 90.81平米 | 南 | 毛坯 | 有电梯","高楼层(共34层)2010年建板楼  -  ,沿江南","265,万",单价29182元/平米
地铁口 精装修四房 拎包入住 小区环境优美 人车分流,"宋都晨光国际 , | 3室2厅 | 87.61平米 | 南 | 精装 | 有电梯","中楼层(共32层)2013年建板塔结合  -  ,沿江南","340,万",单价38809元/平米
此房一手买进满五唯一 南北通透 三面采光,"风雅钱塘 , | 4室2厅 | 169.95平米 | 东 南 北 | 精装 | 有电梯","高楼层(共25层)2006年建板楼  -  ,滨江区政府","780,万",单价45896元/平米
西湖区人车分流小区，08年小区，边套户型，自住精装修,"西鉴枫景 , | 3室2厅 | 158.35平米 | 西 | 精装 | 有电梯","中楼层(共18层)2007年建板楼  -  ,文三西路","750,万",单价47364元/平米
湖畔花园精装东边套，楼层好，户型好，带地下车位。,"湖畔花园夕照苑 , | 4室2厅 | 152平米 | 南 | 精装 | 无电梯","中楼层(共4层)2000年建板楼  -  ,文一西路","680,万",单价44737元/平米
都市水乡水映苑 3室2厅 350万,"都市水乡水映苑 , | 3室2厅 | 100.8平米 | 西 | 简装 | 有电梯","低楼层(共18层)2004年建板楼  -  ,三墩","350,万",单价34723元/平米
白马尊邸 2室2厅 300万,"白马尊邸 , | 2室2厅 | 87.3平米 | 南 | 精装 | 有电梯","低楼层(共18层)2009年建塔楼  -  ,三墩","300,万",单价34365元/平米
新星小区 3室1厅 238万,"新星小区 , | 3室1厅 | 73.6平米 | 南 北 | 精装 | 无电梯","高楼层(共5层)1996年建板楼  -  ,三墩","238,万",单价32337元/平米
东方郡一室一厅小户型 自住精装修 楼层佳 诚心出售,"欣盛东方郡东区 , | 2室1厅 | 59.01平米 | 南 | 精装 | 有电梯","中楼层(共27层)2009年建塔楼  -  ,滨江区政府","380,万",单价64396元/平米
万科物业商品房小区 精装大两房 客厅带阳台 满五唯一,"天阳观筑 , | 2室2厅 | 73.88平米 | 南 北 | 精装 | 有电梯","中楼层(共17层)2011年建板楼  -  ,丁桥","235,万",单价31809元/平米
免双税，全明边套大三房，送地下车位，沿河景观，诚售,"冠宇隽园 , | 3室2厅 | 129.2平米 | 南 北 | 精装 | 有电梯","低楼层(共16层)2010年建板楼  -  ,丁桥","410,万",单价31734元/平米
美政花苑大两房，清爽装修，拎包入住，还是地铁房,"美政花苑 , | 2室1厅 | 77.97平米 | 南 北 | 精装 | 无电梯","低楼层(共7层)2000年建板楼  -  ,复兴","370,万",单价47455元/平米
景芳四区好房，户型方正，楼层适中，三房，看房随时,"景芳四区 , | 3室1厅 | 70.75平米 | 南 北 | 简装","中楼层(共7层)1995年建板楼  -  ,景芳","315,万",单价44523元/平米
